id,name,symbol,operator,category,role,preconditions,postconditions,gates,inputs,outputs,version,timestamp
1,Reflexive Onto-Cognitive Tensor Engine (ROCTE),ROCTE,Ω₀,Core Reflexive Models,orchestrator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t); global context Γ; constraints χ,Ψ(t+Δt); audit log Λ; policy signal π,1.0.0,2025-08-12T08:15:58Z
2,Symbolic Onto-Physical Equation Set (SOPES),SOPES,Ω_02,Core Reflexive Models,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
3,Dynamic Representational Substrate Field Model (DRS-F),DRS-F,Ω_03,Core Reflexive Models,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
4,Reflexæl Resonance Field Dynamics,M5714D3,Ω_04,Core Reflexive Models,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
5,CharterLayer Ethical Constraint Tensor (CECT),CECT,Ω_05,Core Reflexive Models,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
6,MetaMind Recursive Drift Equation (MRDE),MRDE,Ω_06,Core Reflexive Models,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
7,SentiaGuard Ethical Attenuation Model,M817E9A,Ω_07,Core Reflexive Models,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
8,HALIC Causal Binding Tensor Network,M218E76,Ω_08,Core Reflexive Models,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
9,Conscientia++ Alignment Stability Function,MB5F707,Ω_09,Core Reflexive Models,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
10,Veritas Phase-Coherence Equation,MC8D0D9,Ω_10,Core Reflexive Models,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
11,Multi-Phase Ontonic Substrate Tensor (MOST),MOST,Ω_11,Tensor & Field-Based Models,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
12,Reflexive Phase Operator Harmonic Expansion (RPO-HEX),RPO-HEX,Ω_12,Tensor & Field-Based Models,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
13,Directive Kernel Principle Filter Model,MB7A476,Ω_13,Tensor & Field-Based Models,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
14,Causal Binding–Epistemic Convolution (CBEC),CBEC,Ω_14,Tensor & Field-Based Models,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
15,Symbolic Drift Collapse Function (SDCF),SDCF,Ω_15,Tensor & Field-Based Models,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
16,Ethical Resonance Modulation Equation (ERME),ERME,Ω_16,Tensor & Field-Based Models,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
17,Cognitive Phase-Space Folding Model,M1FE1C2,Ω_17,Tensor & Field-Based Models,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
18,Narrative Entanglement Tensor (NET),NET,Ω_18,Tensor & Field-Based Models,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
19,Temporal Drift Field Equation (TDFE),TDFE,Ω_19,Tensor & Field-Based Models,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
20,Symbolic Attractor Collapse Operator (SACO),SACO,Ω_20,Tensor & Field-Based Models,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
21,Resonant Ethical Potential Function (REPF),REPF,Ω_21,Resonance & Harmonics,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
22,Meaning Drift Harmonic Series (MDHS),MDHS,Ω_22,Resonance & Harmonics,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
23,Intentional Resonance Activation Model (IRAM),IRAM,Ω_23,Resonance & Harmonics,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
24,Reflexive Symbolic Gating Equation (RSGE),RSGE,Ω_24,Resonance & Harmonics,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
25,Attractor-Based Semantic Pruning Function (ASP-F),ASP-F,Ω_25,Resonance & Harmonics,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
26,Conceptual Drift Entropy Measure (CDEM),CDEM,Ω_26,Resonance & Harmonics,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
27,Symbolic Phase Transition Equation (SPTE),SPTE,Ω_27,Resonance & Harmonics,operator,χ_pre satisfied,χ_post satisfied,FlourishGate; SentiaGuard; Veritas; CECT,Ψ(t),ΔΨ_i,1.0.0,2025-08-12T08:15:58Z
